"","nome","classe","bolsa","ativo","estado","codigo","cnpj","setor_bovespa","seg_bovespa","seg_listagem","setor_econo","date","total_assets","gross_margin","roe","roa","mktcap","pe","cap_str","fin_turn","oper_turn","grossdebt_assets","ebitda_finexp","netdebt_pl","ebit_gdebt","liq_ratio","curr_ratio","quick_ratio","return","capex","neg","sharpe","var","beta","vol"
"1","3r Petroleum","ON","Bovespa","Ação","ativo","RRRP3","12091809000155","Petróleo gás e biocombustíveis","Exploração refino e distribuição","Novo Mercado","Petróleo e Gas",2018-12-31,453309000,66.389136115,-22.678209932,-11.615035218,NA,NA,48.783280279,-8.4655698201,74.6231805,0,-2.8299533734,-51.553602963,NA,0.86958428861,5.4640623763,5.4640623763,NA,380569000,NA,NA,NA,NA,NA
"2","3r Petroleum","ON","Bovespa","Ação","ativo","RRRP3","12091809000155","Petróleo gás e biocombustíveis","Exploração refino e distribuição","Novo Mercado","Petróleo e Gas",2019-12-31,425782000,65.454599424,-4.5983299403,-2.763855682,NA,NA,39.894359085,-57.737685417,75.058327644,0,0.83933803708,-32.337184812,NA,0.88762120061,3.1444113536,3.1444113536,NA,380569000,NA,NA,NA,NA,NA
"3","3r Petroleum","ON","Bovespa","Ação","ativo","RRRP3","12091809000155","Petróleo gás e biocombustíveis","Exploração refino e distribuição","Novo Mercado","Petróleo e Gas",2020-12-31,396444000,50.521604938,-13.499554463,-8.0631816852,NA,NA,40.27075703,21.817739241,39.288888889,0,-0.41533777158,-26.847499715,NA,0.81862938535,2.7144976626,2.7144976626,NA,380569000,NA,NA,NA,NA,NA
"4","3r Petroleum","ON","Bovespa","Ação","ativo","RRRP3","12091809000155","Petróleo gás e biocombustíveis","Exploração refino e distribuição","Novo Mercado","Petróleo e Gas",2021-12-31,2109064000,47.988778678,-25.673567914,-13.111503491,4073561522.4,-3.5394532125,48.929951865,18.773245764,94.832924777,30.003119867,-0.63567985515,-6.7474700585,-27.23705524,0.77432352291,6.7401123036,6.6986228397,NA,380569000,0.0045090780585,NA,NA,NA,NA
"5","3r Petroleum","ON","Bovespa","Ação","ativo","RRRP3","12091809000155","Petróleo gás e biocombustíveis","Exploração refino e distribuição","Novo Mercado","Petróleo e Gas",2022-12-31,5453481000,56.096394746,0.38297714375,0.2932255563,6796997766.9,-5111.1919124,23.435233386,14.994120149,75.39295594,0.88405919082,0.81074129852,-58.913169734,860.87488592,2.2111904516,4.7867968098,4.7574740281,-9.811827957,380569000,0.24308394424,-0.039656430775,5.2517162748,5.2517162748,5.2517162748
"6","3r Petroleum","ON","Bovespa","Ação","ativo","RRRP3","12091809000155","Petróleo gás e biocombustíveis","Exploração refino e distribuição","Novo Mercado","Petróleo e Gas",2023-12-31,7971135000,51.490169076,2.9419007089,1.6022310499,7666558108,51.144131565,45.537555191,21.156444645,127.43508466,13.198145559,0.68366983144,5.0733252328,25.76484589,0.57939534858,1.7618916751,1.5515998587,12.518628912,380569000,0.66047534768,0.28008336036,5.3225265994,5.3225265994,5.3225265994
"7","3tentos","ON","Bovespa","Ação","ativo","TTEN3","94813102000170","Consumo não cíclico","Agricultura","Novo Mercado","Agro e Pesca",2018-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275440000,NA,NA,NA,NA,NA
"8","3tentos","ON","Bovespa","Ação","ativo","TTEN3","94813102000170","Consumo não cíclico","Agricultura","Novo Mercado","Agro e Pesca",2019-12-31,1080928000,15.77252287,41.817884311,11.585137955,NA,NA,72.296212144,NA,NA,NA,NA,NA,NA,NA,1.0390656542,NA,NA,275440000,NA,NA,NA,NA,NA
"9","3tentos","ON","Bovespa","Ação","ativo","TTEN3","94813102000170","Consumo não cíclico","Agricultura","Novo Mercado","Agro e Pesca",2020-12-31,1524026000,14.155513208,30.218272677,7.9276206574,NA,NA,73.765473817,NA,NA,NA,NA,NA,NA,NA,1.1293582663,NA,NA,275440000,NA,NA,NA,NA,NA
"10","3tentos","ON","Bovespa","Ação","ativo","TTEN3","94813102000170","Consumo não cíclico","Agricultura","Novo Mercado","Agro e Pesca",2021-12-31,2321373000,16.070322985,34.581088899,10.608506259,NA,NA,69.322810251,61.918056756,181.33865042,27.636876969,1.9480327777,54.605466402,51.043947908,1.1891028131,1.296679355,0.72268496948,NA,275440000,NA,NA,NA,NA,NA
"11","3tentos","ON","Bovespa","Ação","ativo","TTEN3","94813102000170","Consumo não cíclico","Agricultura","Novo Mercado","Agro e Pesca",2022-12-31,4395601000,13.130031425,19.24238901,9.7894690624,4807768140,NA,49.125500699,62.896056843,158.04483991,18.193189054,2.0991924022,-13.008084999,44.215830937,1.6680925515,1.8316773832,1.0527102702,NA,275440000,0.036953092281,NA,NA,NA,NA
"12","3tentos","ON","Bovespa","Ação","ativo","TTEN3","94813102000170","Consumo não cíclico","Agricultura","Novo Mercado","Agro e Pesca",2023-12-31,6081989000,15.151370806,20.264781067,9.3912369786,4632207760,8.0870297758,53.65734795,58.161998236,179.34878344,18.021571562,1.8192530716,7.6959647763,49.052615253,1.3967103364,1.5541912816,0.81308388696,-4.0482150937,275440000,0.070103814694,-0.13901466647,4.5179513501,4.5179513501,4.5179513501
"13","524 Particip","ON","Bovespa","Ação","ativo","QVQP3B","01851771000155","Outros","Outros","Tradicional","Energia Elétrica",2018-12-31,100000,NA,-150,-150,NA,NA,0,NA,NA,0,NA,-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","524 Particip","ON","Bovespa","Ação","ativo","QVQP3B","01851771000155","Outros","Outros","Tradicional","Energia Elétrica",2019-12-31,93000,NA,-115.05376344,-115.05376344,NA,NA,0,NA,NA,0,NA,-80.64516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","524 Particip","ON","Bovespa","Ação","ativo","QVQP3B","01851771000155","Outros","Outros","Tradicional","Energia Elétrica",2020-12-31,55000,NA,-250.90909091,-250.90909091,NA,NA,0,NA,NA,0,NA,-74.545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","524 Particip","ON","Bovespa","Ação","ativo","QVQP3B","01851771000155","Outros","Outros","Tradicional","Energia Elétrica",2021-12-31,150000,NA,-84,-84,NA,NA,0,NA,NA,0,NA,-97.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","524 Particip","ON","Bovespa","Ação","ativo","QVQP3B","01851771000155","Outros","Outros","Tradicional","Energia Elétrica",2022-12-31,112000,NA,-114.28571428,-114.28571428,NA,NA,0,NA,NA,0,NA,-97.321428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","524 Particip","ON","Bovespa","Ação","ativo","QVQP3B","01851771000155","Outros","Outros","Tradicional","Energia Elétrica",2023-12-31,117000,NA,-98.290598291,-98.290598291,NA,NA,0,NA,NA,0,NA,-98.290598291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Abc Brasil","PN","Bovespa","Ação","ativo","ABCB4","28195667000106","Financeiro","Bancos","Nível 2","Finanças e Seguros",2018-12-31,28767785000,26.178431244,12.749411448,1.4555621853,3304854696.3,7.3918927782,88.583298992,NA,NA,NA,NA,NA,NA,1.1283957946,1.1903919121,NA,34.691558517,NA,0.12945442265,0.92701978025,3.3295475233,3.3295475233,3.3295475233
"20","Abc Brasil","PN","Bovespa","Ação","ativo","ABCB4","28195667000106","Financeiro","Bancos","Nível 2","Finanças e Seguros",2019-12-31,32728775000,15.830628,11.405943511,1.2774263626,3387283594.4,7.8546430854,88.800344651,NA,NA,NA,NA,NA,NA,1.1256009934,1.2130598457,NA,6.7350408475,NA,0.089225630801,0.14886849049,2.6833165046,2.6833165046,2.6833165046
"21","Abc Brasil","PN","Bovespa","Ação","ativo","ABCB4","28195667000106","Financeiro","Bancos","Nível 2","Finanças e Seguros",2020-12-31,36257230000,27.501502415,13.076810568,1.4573617455,4216503894.6,7.9922128931,88.855373121,NA,NA,NA,NA,NA,NA,1.1240327554,1.0253379631,NA,28.046725988,NA,0.093079532955,1.0663728919,2.3835066266,2.3835066266,2.3835066266
"22","Abc Brasil","PN","Bovespa","Ação","ativo","ABCB4","28195667000106","Financeiro","Bancos","Nível 2","Finanças e Seguros",2021-12-31,43328841000,2.2890299152,7.510640089,0.74332936808,3405961233.4,10.439485956,90.102982445,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.371766122,NA,0.076620609226,-0.22772082867,5.1363600371,5.1363600371,5.1363600371
"23","Abc Brasil","PN","Bovespa","Ação","ativo","ABCB4","28195667000106","Financeiro","Bancos","Nível 2","Finanças e Seguros",2022-12-31,49565970000,24.901397217,12.265252561,1.1557687664,3437405617.7,6.0239295056,90.576885714,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.706917456,NA,0.070333923719,0.30571419278,3.4040174872,3.4040174872,3.4040174872
"24","Abc Brasil","PN","Bovespa","Ação","ativo","ABCB4","28195667000106","Financeiro","Bancos","Nível 2","Finanças e Seguros",2023-12-31,57408844000,37.631790553,15.414497399,1.3982079138,4255833590.9,5.3087678368,90.929266926,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.36120981,NA,0.087462504941,0.78538522641,3.3029796474,3.3029796474,3.3029796474
"25","Aco Altona","ON","Bovespa","Ação","ativo","EALT3","82643537000134","Bens industriais","Máq. e equip. industriais","Tradicional","Siderur & Metalur",2018-12-31,253402000,18.113855125,31.274745908,12.094616459,74250000,NA,61.327850609,143.39477582,179.1410304,21.487596783,6.9159472422,54.140985346,88.356290175,0.62318700694,0.9670718508,0.56591874115,NA,23202000,0.000003976743528,NA,NA,NA,NA
"26","Aco Altona","ON","Bovespa","Ação","ativo","EALT3","82643537000134","Bens industriais","Máq. e equip. industriais","Tradicional","Siderur & Metalur",2019-12-31,347111000,20.512145642,7.9217973924,3.5288423588,94282500,7.4577516532,55.454019031,117.00333762,145.26725481,23.683490296,2.5448240866,49.553756209,24.523160763,0.65754570439,0.96871908256,0.60367180846,NA,23202000,0.000013168834112,NA,NA,NA,NA
"27","Aco Altona","ON","Bovespa","Ação","ativo","EALT3","82643537000134","Bens industriais","Máq. e equip. industriais","Tradicional","Siderur & Metalur",2020-12-31,368478000,21.618749039,10.352136038,4.573135981,220012500,18.693252626,55.824228312,116.74011591,135.63722992,23.786494716,2.9370712089,48.36955854,30.889466959,0.84758385999,1.0878726024,0.80235833938,NA,23202000,0.0001472751531,NA,NA,NA,NA
"28","Aco Altona","ON","Bovespa","Ação","ativo","EALT3","82643537000134","Bens industriais","Máq. e equip. industriais","Tradicional","Siderur & Metalur",2021-12-31,417226000,25.308713077,13.745371378,6.0499585357,190117500,11.436296648,55.985485085,140.22136401,166.5306099,22.371568407,2.6907981634,37.440100196,34.299335762,0.90217307544,1.2081019826,0.92794325825,-6.6745151315,23202000,0.00015348682924,NA,NA,NA,NA
