,cnpj,nome,date,codigo,seg_listagem,setor_econo,index_all,index_ac,index_ca,index_dir,index_et,index_fc,total_assets,mktcap,gross_margin,roa,pe,cap_str,fin_turn,oper_turn,capex,neg
13,00001180000126,Eletrobras,2018-12-31,ELET3,Nível 1,Energia Elétrica,0.8,0.5,0.8333333333333334,0.8125,0.875,0.9444444444444444,172975359000.0,27051811421.0,59.41063402,-0.99765134755,-14.83153948,75.284033375,-178.1292951,66.429001379,1401763000.0,0.6535507554
15,00001180000126,Eletrobras,2018-12-31,ELET6,Nível 1,Energia Elétrica,0.8,0.5,0.8333333333333334,0.8125,0.875,0.9444444444444444,172975359000.0,27051811421.0,59.41063402,-0.99765134755,-17.408270228,75.284033375,-178.1292951,66.429001379,1401763000.0,0.49326881698
16,00001180000126,Eletrobras,2019-12-31,ELET3,Nível 1,Energia Elétrica,0.79,0.5,0.8333333333333334,0.75,0.875,0.9444444444444444,181210208000.0,33820949214.0,77.830240673,7.3657975162,2.4712253144,69.091725782,-101.76802176,116.72290023,1401763000.0,0.7663475737
17,00001180000126,Eletrobras,2019-12-31,ELET5,Nível 1,Energia Elétrica,0.79,0.5,0.8333333333333334,0.75,0.875,0.9444444444444444,181210208000.0,33820949214.0,77.830240673,7.3657975162,3.0291123334,69.091725782,-101.76802176,116.72290023,1401763000.0,1.1915870262e-05
18,00001180000126,Eletrobras,2019-12-31,ELET6,Nível 1,Energia Elétrica,0.79,0.5,0.8333333333333334,0.75,0.875,0.9444444444444444,181210208000.0,33820949214.0,77.830240673,7.3657975162,2.8730671526,69.091725782,-101.76802176,116.72290023,1401763000.0,0.56178028079
19,00001180000126,Eletrobras,2020-12-31,ELET3,Nível 1,Energia Elétrica,0.803921568627451,0.55,0.8333333333333334,0.8125,0.875,0.9444444444444444,177466715000.0,51246978273.0,75.553867741,6.0540045495,4.7797491157,59.770402016,-42.158854628,122.25522016,1401763000.0,1.0540394972
20,00001180000126,Eletrobras,2020-12-31,ELET5,Nível 1,Energia Elétrica,0.803921568627451,0.55,0.8333333333333334,0.8125,0.875,0.9444444444444444,177466715000.0,51246978273.0,75.553867741,6.0540045495,5.3108323508,59.770402016,-42.158854628,122.25522016,1401763000.0,9.3954093227e-06
21,00001180000126,Eletrobras,2020-12-31,ELET6,Nível 1,Energia Elétrica,0.803921568627451,0.55,0.8333333333333334,0.8125,0.875,0.9444444444444444,177466715000.0,51246978273.0,75.553867741,6.0540045495,4.835386407,59.770402016,-42.158854628,122.25522016,1401763000.0,0.67708932268
22,00001180000126,Eletrobras,2021-12-31,ELET3,Nível 1,Energia Elétrica,0.8235294117647058,0.55,0.8333333333333334,0.9375,0.875,0.9444444444444444,178966449000.0,57626440547.0,72.630293695,3.5690002432,8.9225876481,58.790435631,-60.214988361,116.36674778,1401763000.0,0.76729321417
23,00001180000126,Eletrobras,2021-12-31,ELET5,Nível 1,Energia Elétrica,0.8235294117647058,0.55,0.8333333333333334,0.9375,0.875,0.9444444444444444,178966449000.0,57626440547.0,72.630293695,3.5690002432,11.180608192,58.790435631,-60.214988361,116.36674778,1401763000.0,1.6313682059e-05
24,00001180000126,Eletrobras,2021-12-31,ELET6,Nível 1,Energia Elétrica,0.8235294117647058,0.55,0.8333333333333334,0.9375,0.875,0.9444444444444444,178966449000.0,57626440547.0,72.630293695,3.5690002432,9.0028836373,58.790435631,-60.214988361,116.36674778,1401763000.0,0.43594806979
25,00001180000126,Eletrobras,2022-12-31,ELET3,Nível 1,Energia Elétrica,0.87,0.65,0.875,0.9375,0.9090909090909091,1.0,188303069000.0,52310576016.0,68.202434156,3.0342750282,9.2838599796,59.418205765,-39.006180361,82.33363858,1401763000.0,0.78575763674
26,00001180000126,Eletrobras,2022-12-31,ELET5,Nível 1,Energia Elétrica,0.87,0.65,0.875,0.9375,0.9090909090909091,1.0,188303069000.0,52310576016.0,68.202434156,3.0342750282,17.923046055,59.418205765,-39.006180361,82.33363858,1401763000.0,3.2211670744e-05
27,00001180000126,Eletrobras,2022-12-31,ELET6,Nível 1,Energia Elétrica,0.87,0.65,0.875,0.9375,0.9090909090909091,1.0,188303069000.0,52310576016.0,68.202434156,3.0342750282,9.1727093064,59.418205765,-39.006180361,82.33363858,1401763000.0,0.39098127451
29,00070698000111,Ceb,2019-12-31,CEBR5,Tradicional,Energia Elétrica,0.5,0.375,0.5833333333333334,0.5625,0.375,0.6111111111111112,3741671000.0,511781596.5,14.682670517,3.0924685789,5.6882318555,78.817752817,8.4142265577,87.914040576,35479000.0,1.6666170502e-05
31,00070698000111,Ceb,2020-12-31,CEBR3,Tradicional,Energia Elétrica,0.5102040816326531,0.375,0.5833333333333334,0.5625,0.4166666666666667,0.6111111111111112,3687355000.0,793210108.41,17.88544945,4.2477331312,6.5866443057,72.861983725,50.037518431,81.359695553,35479000.0,0.00024305654649
32,00070698000111,Ceb,2020-12-31,CEBR5,Tradicional,Energia Elétrica,0.5102040816326531,0.375,0.5833333333333334,0.5625,0.4166666666666667,0.6111111111111112,3687355000.0,793210108.41,17.88544945,4.2477331312,7.8957383477,72.861983725,50.037518431,81.359695553,35479000.0,7.8049216949e-05
33,00070698000111,Ceb,2020-12-31,CEBR6,Tradicional,Energia Elétrica,0.5102040816326531,0.375,0.5833333333333334,0.5625,0.4166666666666667,0.6111111111111112,3687355000.0,793210108.41,17.88544945,4.2477331312,6.4824980637,72.861983725,50.037518431,81.359695553,35479000.0,0.00024669675183
34,00070698000111,Ceb,2021-12-31,CEBR3,Tradicional,Energia Elétrica,0.5306122448979592,0.375,0.5833333333333334,0.6875,0.4166666666666667,0.6111111111111112,3833792000.0,1965741198.0,48.91526699,12.138843213,4.1654385845,76.503028855,4.6645051208,50.366999041,35479000.0,0.00034648115817
35,00070698000111,Ceb,2021-12-31,CEBR5,Tradicional,Energia Elétrica,0.5306122448979592,0.375,0.5833333333333334,0.6875,0.4166666666666667,0.6111111111111112,3833792000.0,1965741198.0,48.91526699,12.138843213,5.1651438448,76.503028855,4.6645051208,50.366999041,35479000.0,0.00011152528468
36,00070698000111,Ceb,2021-12-31,CEBR6,Tradicional,Energia Elétrica,0.5306122448979592,0.375,0.5833333333333334,0.6875,0.4166666666666667,0.6111111111111112,3833792000.0,1965741198.0,48.91526699,12.138843213,4.8652322667,76.503028855,4.6645051208,50.366999041,35479000.0,0.00029654061041
37,00070698000111,Ceb,2022-12-31,CEBR3,Tradicional,Energia Elétrica,0.5306122448979592,0.375,0.5833333333333334,0.6875,0.4166666666666667,0.6111111111111112,1514386000.0,1132611045.8,48.621927902,85.474046908,0.91885264755,30.122108894,-3.4650578342,42.564260492,35479000.0,0.00072540103496
38,00070698000111,Ceb,2022-12-31,CEBR5,Tradicional,Energia Elétrica,0.5306122448979592,0.375,0.5833333333333334,0.6875,0.4166666666666667,0.6111111111111112,1514386000.0,1132611045.8,48.621927902,85.474046908,0.91020597897,30.122108894,-3.4650578342,42.564260492,35479000.0,0.00023095480954
39,00070698000111,Ceb,2022-12-31,CEBR6,Tradicional,Energia Elétrica,0.5306122448979592,0.375,0.5833333333333334,0.6875,0.4166666666666667,0.6111111111111112,1514386000.0,1132611045.8,48.621927902,85.474046908,0.88887752981,30.122108894,-3.4650578342,42.564260492,35479000.0,0.0006323326125
43,00242184000104,Armac,2022-12-31,ARML3,Novo Mercado,Outros,0.8085106382978723,0.7777777777777778,0.8333333333333334,1.0,0.6363636363636364,0.8571428571428571,3281487000.0,9055441855.0,48.197324466,1.7694417196,135.82977554,66.091683435,99.919544301,188.32774032,9681000.0,0.037873714043
44,00242184000104,Armac,2023-12-31,ARML3,Novo Mercado,Outros,0.8085106382978723,0.7777777777777778,0.8333333333333334,1.0,0.6363636363636364,0.8571428571428571,3730975000.0,4057618581.8,47.031060547,3.9826586884,27.317780833,68.948572424,-88.282077321,114.69252863,9681000.0,0.043945893712
78,00776574000156,Americanas,2018-12-31,AMER3,Novo Mercado,Comércio,0.87,0.7,0.8333333333333334,1.0,0.9090909090909091,0.9444444444444444,12623127000.0,9301335460.5,21.990507497,-3.261870058,-20.409925978,69.05906912,-15.274539899,99.213789466,1594615000.0,0.34744168482
79,00776574000156,Americanas,2019-12-31,AMER3,Novo Mercado,Comércio,0.91,0.9,0.8333333333333334,1.0,0.9090909090909091,0.9444444444444444,13031194000.0,19214939384.0,25.813469517,-3.0535498129,-48.087910976,72.856554818,-75.587717901,74.408661088,1594615000.0,0.67434153624
80,00776574000156,Americanas,2020-12-31,AMER3,Novo Mercado,Comércio,0.94,0.9,0.875,1.0,0.9545454545454546,1.0,16056570000.0,32890191409.0,29.722714984,-1.9819799621,-92.828659643,64.28607106,-96.2439215,112.54825839,1594615000.0,0.79040630499
81,00776574000156,Americanas,2021-12-31,AMER3,Novo Mercado,Comércio,0.94,0.9,0.875,1.0,0.9545454545454546,1.0,22606775000.0,42330870412.0,28.417546337,-0.93227804497,-191.50057318,58.040428146,-52.162792732,149.91604649,1594615000.0,1.0001366313
82,00776574000156,Americanas,2022-12-31,AMER3,Novo Mercado,Comércio,0.92,0.8,0.875,1.0,0.9545454545454546,1.0,44518812000.0,28393539567.0,29.792952116,1.2214948593,41.606120895,64.260106492,34.144023443,229.49205641,1594615000.0,0.84017101749
84,00864214000106,Energisa,2018-12-31,ENGI3,Nível 2,Energia Elétrica,0.5851063829787234,0.6875,0.5,0.875,0.5,0.42857142857142855,22048356000.0,11540757480.0,13.843988269,2.5969373862,30.34719421,78.299869614,17.584349027,61.04478064,2501222000.0,9.0935454567e-05
85,00864214000106,Energisa,2018-12-31,ENGI4,Nível 2,Energia Elétrica,0.5851063829787234,0.6875,0.5,0.875,0.5,0.42857142857142855,22048356000.0,11540757480.0,13.843988269,2.5969373862,13.749136968,78.299869614,17.584349027,61.04478064,2501222000.0,0.00015638185949
